,zipcode,agi_stub,N1
103565,10708,4,1210
103566,10708,5,2370
103567,10708,6,2430
103568,10709,1,1180
103569,10709,2,650
103570,10709,3,620
103571,10709,4,470
103572,10709,5,1060
103573,10709,6,870
103574,10710,1,3580
103575,10710,2,2760
103576,10710,3,2240
103577,10710,4,1720
103578,10710,5,2990
103579,10710,6,820
103580,10801,1,6860
103581,10801,2,4030
103582,10801,3,2550
103583,10801,4,1630
103584,10801,5,2430
103585,10801,6,960
103586,10803,1,1330
103587,10803,2,770
103588,10803,3,610
103589,10803,4,480
103590,10803,5,1010
103591,10803,6,1800
103592,10804,1,1490
103593,10804,2,650
103594,10804,3,670
103595,10804,4,490
103596,10804,5,1470
103597,10804,6,2310
103598,10805,1,2850
103599,10805,2,2050
103600,10805,3,1600
103601,10805,4,1040
103602,10805,5,1330
103603,10805,6,350
103604,10901,1,3270
103605,10901,2,1970
103606,10901,3,1430
103607,10901,4,1080
103608,10901,5,2320
103609,10901,6,1360
103610,10913,1,680
103611,10913,2,350
103612,10913,3,280
103613,10913,4,250
103614,10913,5,610
103615,10913,6,430
103616,10914,1,80
103617,10914,2,70
103618,10914,3,50
103619,10914,4,30
103620,10914,5,90
103621,10914,6,30
103622,10915,1,70
103623,10915,2,50
103624,10915,3,40
103625,10915,4,0
103626,10915,5,30
103627,10915,6,0
103628,10916,1,600
103629,10916,2,330
103630,10916,3,280
103631,10916,4,220
103632,10916,5,570
103633,10916,6,190
103634,10917,1,320
103635,10917,2,160
103636,10917,3,140
103637,10917,4,90
103638,10917,5,210
103639,10917,6,90
103640,10918,1,1600
103641,10918,2,990
103642,10918,3,790
103643,10918,4,670
103644,10918,5,1260
103645,10918,6,390
103646,10919,1,180
103647,10919,2,140
103648,10919,3,70
103649,10919,4,70
103650,10919,5,120
103651,10919,6,30
103652,10920,1,1210
103653,10920,2,730
103654,10920,3,550
103655,10920,4,490
103656,10920,5,1110
103657,10920,6,410
103658,10921,1,600
103659,10921,2,390
103660,10921,3,320
103661,10921,4,230
103662,10921,5,470
103663,10921,6,120
103664,10922,1,210
103665,10922,2,140
103666,10922,3,130
103667,10922,4,120
103668,10922,5,180
103669,10922,6,40
103670,10923,1,1610
103671,10923,2,1050
103672,10923,3,740
103673,10923,4,480
103674,10923,5,800
103675,10923,6,190
103676,10924,1,1760
103677,10924,2,1040
103678,10924,3,820
103679,10924,4,610
103680,10924,5,1400
103681,10924,6,550
103682,10925,1,720
103683,10925,2,480
103684,10925,3,370
103685,10925,4,300
103686,10925,5,470
103687,10925,6,90
103688,10926,1,550
103689,10926,2,390
103690,10926,3,310
103691,10926,4,220
103692,10926,5,340
103693,10926,6,90
103694,10927,1,2970
103695,10927,2,1620
103696,10927,3,660
103697,10927,4,340
103698,10927,5,400
103699,10927,6,120
103700,10928,1,740
103701,10928,2,590
103702,10928,3,360
103703,10928,4,210
103704,10928,5,290
103705,10928,6,60
103706,10930,1,1220
103707,10930,2,640
103708,10930,3,520
103709,10930,4,440
103710,10930,5,1100
103711,10930,6,390
103712,10931,1,180
103713,10931,2,120
103714,10931,3,70
103715,10931,4,60
103716,10931,5,80
103717,10931,6,0
103718,10932,1,60
103719,10932,2,40
103720,10932,3,30
103721,10932,4,20
103722,10932,5,40
103723,10932,6,0
103724,10933,1,70
103725,10933,2,40
103726,10933,3,20
103727,10933,4,30
103728,10933,5,60
103729,10933,6,0
103730,10940,1,8900
103731,10940,2,6040
103732,10940,3,3450
103733,10940,4,2250
103734,10940,5,3120
103735,10940,6,470
103736,10941,1,2180
103737,10941,2,1740
103738,10941,3,1060
103739,10941,4,740
103740,10941,5,1070
103741,10941,6,200
103742,10950,1,6600
103743,10950,2,3180
103744,10950,3,1880
103745,10950,4,1480
103746,10950,5,3230
103747,10950,6,1120
103748,10952,1,5340
103749,10952,2,2380
103750,10952,3,1130
103751,10952,4,790
103752,10952,5,1520
103753,10952,6,1040
103754,10953,1,50
103755,10953,2,30
103756,10953,3,50
103757,10953,4,0
103758,10953,5,50
103759,10953,6,20
103760,10954,1,3540
103761,10954,2,2250
103762,10954,3,1670
103763,10954,4,1320
103764,10954,5,2660
103765,10954,6,940
103766,10956,1,4110
103767,10956,2,2180
103768,10956,3,1750
103769,10956,4,1400
103770,10956,5,4000
103771,10956,6,2530
103772,10958,1,490
103773,10958,2,290
103774,10958,3,230
103775,10958,4,180
103776,10958,5,340
103777,10958,6,80
103778,10960,1,2310
103779,10960,2,1470
103780,10960,3,1020
103781,10960,4,730
103782,10960,5,1410
103783,10960,6,800
103784,10962,1,650
103785,10962,2,370
103786,10962,3,320
103787,10962,4,250
103788,10962,5,590
103789,10962,6,360
103790,10963,1,370
103791,10963,2,240
103792,10963,3,170
103793,10963,4,150
103794,10963,5,240
103795,10963,6,30
103796,10964,1,170
103797,10964,2,110
103798,10964,3,90
103799,10964,4,60
103800,10964,5,140
103801,10964,6,180
103802,10965,1,1970
103803,10965,2,1190
103804,10965,3,1030
103805,10965,4,780
103806,10965,5,2020
103807,10965,6,900
103808,10968,1,250
103809,10968,2,190
103810,10968,3,190
103811,10968,4,150
103812,10968,5,300
103813,10968,6,200
103814,10969,1,200
103815,10969,2,160
103816,10969,3,80
103817,10969,4,70
103818,10969,5,100
103819,10969,6,40
103820,10970,1,1500
103821,10970,2,1060
103822,10970,3,760
103823,10970,4,540
103824,10970,5,1000
103825,10970,6,360
103826,10973,1,360
103827,10973,2,200
103828,10973,3,140
103829,10973,4,130
103830,10973,5,250
103831,10973,6,60
103832,10974,1,460
103833,10974,2,290
103834,10974,3,210
103835,10974,4,160
103836,10974,5,320
103837,10974,6,120
103838,10975,1,50
103839,10975,2,40
103840,10975,3,40
103841,10975,4,20
103842,10975,5,20
103843,10975,6,0
103844,10976,1,320
103845,10976,2,170
103846,10976,3,100
103847,10976,4,70
103848,10976,5,120
103849,10976,6,70
103850,10977,1,11080
103851,10977,2,6130
103852,10977,3,2570
103853,10977,4,1520
103854,10977,5,2270
103855,10977,6,760
103856,10979,1,40
103857,10979,2,0
103858,10979,3,30
103859,10979,4,0
103860,10979,5,30
103861,10979,6,0
103862,10980,1,2010
103863,10980,2,1290
103864,10980,3,980
103865,10980,4,700
103866,10980,5,1530
103867,10980,6,560
103868,10983,1,710
103869,10983,2,430
103870,10983,3,360
103871,10983,4,290
103872,10983,5,810
103873,10983,6,380
103874,10984,1,320
103875,10984,2,240
103876,10984,3,190
103877,10984,4,150
103878,10984,5,340
103879,10984,6,110
103880,10985,1,40
103881,10985,2,40
103882,10985,3,20
103883,10985,4,20
103884,10985,5,30
103885,10985,6,0
103886,10986,1,260
103887,10986,2,170
103888,10986,3,100
103889,10986,4,110
103890,10986,5,200
103891,10986,6,100
103892,10987,1,600
103893,10987,2,220
103894,10987,3,210
103895,10987,4,160
103896,10987,5,400
103897,10987,6,300
103898,10988,1,120
103899,10988,2,110
103900,10988,3,50
103901,10988,4,40
103902,10988,5,40
103903,10988,6,0
103904,10989,1,1200
103905,10989,2,840
103906,10989,3,710
103907,10989,4,610
103908,10989,5,1240
103909,10989,6,440
103910,10990,1,2850
103911,10990,2,1610
103912,10990,3,1180
103913,10990,4,1040
103914,10990,5,2190
103915,10990,6,920
103916,10992,1,1370
103917,10992,2,840
103918,10992,3,600
103919,10992,4,520
103920,10992,5,1090
103921,10992,6,310
103922,10993,1,980
103923,10993,2,680
103924,10993,3,360
103925,10993,4,220
