,zipcode,agi_stub
103386,10567,5
103387,10567,6
103388,10570,1
103389,10570,2
103390,10570,3
103391,10570,4
103392,10570,5
103393,10570,6
103394,10573,1
103395,10573,2
103396,10573,3
103397,10573,4
103398,10573,5
103399,10573,6
103400,10576,1
103401,10576,2
103402,10576,3
103403,10576,4
103404,10576,5
103405,10576,6
103406,10577,1
103407,10577,2
103408,10577,3
103409,10577,4
103410,10577,5
103411,10577,6
103412,10578,1
103413,10578,2
103414,10578,3
103415,10578,4
103416,10578,5
103417,10578,6
103418,10579,1
103419,10579,2
103420,10579,3
103421,10579,4
103422,10579,5
103423,10579,6
103424,10580,1
103425,10580,2
103426,10580,3
103427,10580,4
103428,10580,5
103429,10580,6
103430,10583,1
103431,10583,2
103432,10583,3
103433,10583,4
103434,10583,5
103435,10583,6
103436,10588,1
103437,10588,2
103438,10588,3
103439,10588,4
103440,10588,5
103441,10588,6
103442,10589,1
103443,10589,2
103444,10589,3
103445,10589,4
103446,10589,5
103447,10589,6
103448,10590,1
103449,10590,2
103450,10590,3
103451,10590,4
103452,10590,5
103453,10590,6
103454,10591,1
103455,10591,2
103456,10591,3
103457,10591,4
103458,10591,5
103459,10591,6
103460,10594,1
103461,10594,2
103462,10594,3
103463,10594,4
103464,10594,5
103465,10594,6
103466,10595,1
103467,10595,2
103468,10595,3
103469,10595,4
103470,10595,5
103471,10595,6
103472,10596,1
103473,10596,2
103474,10596,3
103475,10596,4
103476,10596,5
103477,10596,6
103478,10597,1
103479,10597,2
103480,10597,3
103481,10597,4
103482,10597,5
103483,10597,6
103484,10598,1
103485,10598,2
103486,10598,3
103487,10598,4
103488,10598,5
103489,10598,6
103490,10601,1
103491,10601,2
103492,10601,3
103493,10601,4
103494,10601,5
103495,10601,6
103496,10603,1
103497,10603,2
103498,10603,3
103499,10603,4
103500,10603,5
103501,10603,6
103502,10604,1
103503,10604,2
103504,10604,3
103505,10604,4
103506,10604,5
103507,10604,6
103508,10605,1
103509,10605,2
103510,10605,3
103511,10605,4
103512,10605,5
103513,10605,6
103514,10606,1
103515,10606,2
103516,10606,3
103517,10606,4
103518,10606,5
103519,10606,6
103520,10607,1
103521,10607,2
103522,10607,3
103523,10607,4
103524,10607,5
103525,10607,6
103526,10701,1
103527,10701,2
103528,10701,3
103529,10701,4
103530,10701,5
103531,10701,6
103532,10703,1
103533,10703,2
103534,10703,3
103535,10703,4
103536,10703,5
103537,10703,6
103538,10704,1
103539,10704,2
103540,10704,3
103541,10704,4
103542,10704,5
103543,10704,6
103544,10705,1
103545,10705,2
103546,10705,3
103547,10705,4
103548,10705,5
103549,10705,6
103550,10706,1
103551,10706,2
103552,10706,3
103553,10706,4
103554,10706,5
103555,10706,6
103556,10707,1
103557,10707,2
103558,10707,3
103559,10707,4
103560,10707,5
103561,10707,6
103562,10708,1
103563,10708,2
103564,10708,3
103565,10708,4
103566,10708,5
103567,10708,6
103568,10709,1
103569,10709,2
103570,10709,3
103571,10709,4
103572,10709,5
103573,10709,6
103574,10710,1
103575,10710,2
103576,10710,3
103577,10710,4
103578,10710,5
103579,10710,6
103580,10801,1
103581,10801,2
103582,10801,3
103583,10801,4
103584,10801,5
103585,10801,6
103586,10803,1
103587,10803,2
103588,10803,3
103589,10803,4
103590,10803,5
103591,10803,6
103592,10804,1
103593,10804,2
103594,10804,3
103595,10804,4
103596,10804,5
103597,10804,6
103598,10805,1
103599,10805,2
103600,10805,3
103601,10805,4
103602,10805,5
103603,10805,6
103604,10901,1
103605,10901,2
103606,10901,3
103607,10901,4
103608,10901,5
103609,10901,6
103610,10913,1
103611,10913,2
103612,10913,3
103613,10913,4
103614,10913,5
103615,10913,6
103616,10914,1
103617,10914,2
103618,10914,3
103619,10914,4
103620,10914,5
103621,10914,6
103622,10915,1
103623,10915,2
103624,10915,3
